Year,ResNet,VGG,DenseNet,EfficientNet,ViT
17-03-31,0.0009,0.0003,0,0,0
17-06-30,0.0009,0.0005,0.0001,0,0
17-09-30,0.0011,0.0004,0.0002,0,0
17-12-31,0.0012,0.0008,0.0003,0,0
18-03-31,0.0016,0.0009,0.0004,0,0
18-06-30,0.0014,0.0008,0.0005,0,0
18-09-30,0.0018,0.001,0.0006,0,0
18-12-31,0.0018,0.0008,0.0003,0,0
19-03-31,0.0018,0.0009,0.0002,0,0
19-06-30,0.0029,0.0009,0.0007,0.0001,0
19-09-30,0.0019,0.0009,0.0005,0.0001,0
19-12-31,0.0024,0.001,0.0004,0.0002,0
20-03-31,0.0022,0.0012,0.0004,0.0002,0
20-06-30,0.0027,0.0007,0.0007,0.0004,0
20-09-30,0.0017,0.0006,0.0003,0.0002,0
20-12-31,0.0023,0.001,0.0006,0.0005,0.0002
21-03-31,0.0029,0.0009,0.0005,0.0006,0.0005
21-06-30,0.0018,0.0009,0.0004,0.0001,0.0013
21-09-30,0.0022,0.0006,0.0004,0,0.0011
21-12-31,0.0017,0.0006,0.0003,0,0.0016
22-03-31,0.0018,0.0006,0.0003,0,0.0018
22-06-30,0.0016,0.0006,0.0002,0.0001,0.0019
22-09-30,0.0013,0.0005,0.0002,0.0001,0.0024
22-12-31,0.0017,0.0005,0.0003,0,0.0024
23-03-31,0.0017,0.0006,0.0003,0.0001,0.0025
23-06-30,0.0014,0.0006,0.0002,0.0002,0.0024
23-09-30,0.0015,0.0005,0.0001,0.0003,0.0026
23-12-31,0.0014,0.0004,0.0002,0.0002,0.0027
